Date,AAPL,MSFT,GOOG,FB,AMZN,SNE,AMD,TWTR,IBM,MU
2019/1/4,148.26,101.93,1070.71,137.95,1575.39,49.21,19.0,29.95,117.32,32.7
2019/1/7,147.93,102.06,1068.39,138.05,1629.51,49.72,20.57,31.34,118.15,34.0
2019/1/8,150.75,102.8,1076.28,142.53,1656.58,49.89,20.75,31.8,119.83,33.74
2019/1/9,153.31,104.27,1074.66,144.23,1659.42,49.93,20.19,32.25,120.69,35.44
2019/1/10,153.8,103.6,1070.33,144.2,1656.22,49.1,19.74,33.09,121.79,35.91
2019/1/11,152.29,102.8,1057.19,143.8,1640.56,48.98,20.27,32.87,121.46,36.01
2019/1/14,150.0,102.05,1044.69,145.39,1617.21,48.42,20.23,32.37,120.39,34.67
2019/1/15,153.07,105.01,1077.15,148.95,1674.56,49.84,20.38,33.02,121.73,33.99
2019/1/16,154.94,105.38,1080.97,147.54,1683.78,49.61,19.73,32.47,121.62,33.58
2019/1/17,155.86,106.12,1089.9,148.3,1693.22,49.51,20.25,32.85,122.19,33.88
2019/1/18,156.82,107.71,1098.26,150.04,1696.2,50.18,20.77,33.27,123.82,35.76
2019/1/22,153.3,105.68,1070.52,147.57,1632.17,48.47,19.76,32.25,122.52,33.87
2019/1/23,153.92,106.71,1075.57,144.3,1640.02,48.46,19.8,30.97,132.89,34.24
2019/1/24,152.7,106.2,1073.9,145.83,1654.93,48.37,20.85,31.61,132.53,36.59
2019/1/25,157.76,107.17,1090.99,149.01,1670.57,48.76,21.93,32.9,133.97,38.96
2019/1/28,156.3,105.08,1070.08,147.47,1637.89,48.83,20.18,33.13,134.27,38.08
2019/1/29,154.68,102.94,1060.62,144.19,1593.88,48.78,19.25,31.64,134.33,37.39
2019/1/30,165.25,106.38,1089.06,150.42,1670.43,49.2,23.09,32.26,134.38,38.24
2019/1/31,166.44,104.43,1116.37,166.69,1718.73,50.12,24.41,33.56,134.42,38.22
2019/2/1,166.52,102.78,1110.75,165.71,1626.23,46.15,24.51,33.19,134.1,39.6
2019/2/4,171.25,105.74,1132.8,169.25,1633.31,46.29,24.13,33.94,135.19,39.47
2019/2/5,174.18,107.22,1145.99,171.16,1658.81,45.86,23.31,34.37,135.55,39.37
2019/2/6,174.24,106.03,1115.23,170.49,1640.26,44.22,23.26,34.16,136.32,41.52
2019/2/7,170.94,105.27,1098.71,166.38,1614.37,43.06,22.67,30.8,133.19,39.38
2019/2/8,170.41,105.67,1095.06,167.33,1588.22,44.29,23.05,30.01,133.71,38.58
2019/2/11,169.43,105.25,1095.01,165.79,1591.0,44.59,22.96,30.23,133.99,38.58
2019/2/12,170.89,106.89,1121.37,165.04,1638.01,44.28,22.82,30.39,136.05,40.4
2019/2/13,170.18,106.81,1120.16,164.07,1640.0,45.06,22.85,31.12,137.52,41.68
2019/2/14,170.8,106.9,1121.67,163.95,1622.65,45.12,23.13,30.96,136.48,42.23
2019/2/15,170.42,108.22,1113.65,162.5,1607.95,45.79,23.68,31.23,138.03,41.99
2019/2/19,170.93,108.17,1118.56,162.29,1627.58,46.22,23.95,31.65,138.7,41.96
2019/2/20,172.03,107.15,1113.8,162.56,1622.1,46.88,23.95,31.37,138.0,42.21
2019/2/21,171.06,109.41,1096.97,160.04,1619.44,47.64,23.92,30.76,137.84,41.53
2019/2/22,172.97,110.97,1110.37,161.89,1631.56,47.89,24.36,31.71,139.25,42.57
2019/2/25,174.23,111.59,1109.4,164.62,1633.0,48.46,24.71,31.99,139.46,42.75
2019/2/26,174.33,112.36,1115.13,164.13,1636.4,48.19,24.21,31.01,139.72,42.96
2019/2/27,174.87,112.17,1116.05,162.81,1641.09,48.43,23.48,30.41,139.17,41.32
2019/2/28,173.15,112.03,1119.92,161.45,1639.83,47.99,23.53,30.78,138.13,40.88
2019/3/1,174.97,112.53,1140.99,162.28,1671.73,47.89,23.68,30.62,139.2,41.58
2019/3/4,175.85,112.26,1147.8,167.37,1696.17,47.62,23.37,30.5,138.43,41.06
2019/3/5,175.53,111.7,1162.03,171.26,1692.43,47.66,23.5,31.03,137.88,39.99
2019/3/6,174.52,111.75,1157.86,172.51,1668.95,47.53,22.41,30.8,136.98,37.93
2019/3/7,172.5,110.39,1143.3,169.13,1625.95,46.4,22.08,30.12,135.36,37.83
2019/3/8,172.91,110.51,1142.32,169.6,1620.8,45.95,22.01,30.04,135.09,38.65
2019/3/11,178.9,112.83,1175.76,172.07,1670.62,46.1,22.96,30.87,137.71,39.03
2019/3/12,180.91,113.62,1193.2,171.92,1673.1,46.31,23.49,31.16,138.28,39.25
2019/3/13,181.71,114.5,1193.32,173.37,1690.81,46.66,23.38,31.3,138.56,38.83
2019/3/14,183.73,114.59,1185.55,170.17,1686.22,46.12,22.82,31.03,138.79,38.41
2019/3/15,186.12,115.91,1184.46,165.98,1712.36,46.25,23.29,31.22,139.43,39.54
2019/3/18,188.02,117.57,1184.26,160.47,1742.15,46.08,23.25,31.08,140.21,39.61
2019/3/19,186.53,117.65,1198.85,161.57,1761.85,45.53,26.0,31.27,140.49,40.37
2019/3/20,188.16,117.52,1223.97,165.44,1797.27,43.28,25.7,32.57,139.6,40.13
2019/3/21,195.09,120.22,1231.54,166.08,1819.26,44.01,27.89,32.61,141.44,43.99
2019/3/22,191.05,117.05,1205.5,164.34,1764.77,42.03,26.37,33.02,139.45,41.62
2019/3/25,188.74,117.66,1193.0,166.29,1774.26,42.15,25.97,32.59,139.18,40.55
2019/3/26,186.79,117.91,1184.62,167.68,1783.76,42.73,25.69,33.06,140.22,40.32
2019/3/27,188.47,116.77,1173.02,165.87,1765.7,42.79,24.89,32.28,139.24,39.23
2019/3/28,188.72,116.93,1168.49,165.55,1773.42,42.4,25.06,32.87,139.92,39.34
2019/3/29,189.95,117.94,1173.31,166.69,1780.75,42.24,25.52,32.88,141.1,41.33
2019/4/1,191.24,119.02,1194.43,168.7,1814.19,42.98,26.36,33.44,143.3,42.25
2019/4/2,194.02,119.19,1200.49,174.2,1813.98,42.17,26.75,33.75,143.0,42.44
2019/4/3,195.35,119.97,1205.92,173.54,1820.7,42.39,29.02,34.38,143.63,43.9
2019/4/4,195.69,119.36,1215.0,176.02,1818.86,42.52,29.09,34.42,142.78,42.89
2019/4/5,197.0,119.89,1207.15,175.72,1837.28,43.07,28.98,34.72,143.28,43.32
2019/4/8,200.1,119.93,1203.84,174.93,1849.86,46.6,28.53,34.86,143.39,42.9
2019/4/9,199.5,119.28,1197.25,177.58,1835.84,46.19,27.24,35.14,142.11,41.72
2019/4/10,200.62,120.19,1202.16,177.82,1847.33,46.08,27.83,34.75,143.02,42.17
2019/4/11,198.95,120.33,1204.62,177.51,1844.07,46.25,27.79,34.58,143.78,42.28
2019/4/12,198.87,120.95,1217.87,179.1,1843.06,46.99,27.85,34.37,144.35,42.01
2019/4/15,199.23,121.05,1221.1,179.65,1844.87,47.31,27.33,34.71,143.9,41.82
2019/4/16,199.25,120.77,1227.13,178.87,1863.04,47.95,27.93,34.46,145.14,42.76
2019/4/17,203.13,121.77,1236.34,178.78,1864.82,47.74,27.49,34.48,139.11,43.15
