date,AMZN,S&P 500
2015-07-02,437.71,2076.780029
2015-07-06,436.04,2068.76001
2015-07-07,436.72,2081.340088
2015-07-08,429.7,2046.680054
2015-07-09,434.39,2051.310059
2015-07-10,443.51,2076.6201170000004
2015-07-13,455.57,2099.600098
2015-07-14,465.57,2108.949951
2015-07-15,461.19,2107.399902
2015-07-16,475.48,2124.290039
2015-07-17,483.01,2126.639893
2015-07-20,488.1,2128.280029
2015-07-21,488.0,2119.209961
2015-07-22,488.27,2114.149902
2015-07-23,482.18,2102.149902
2015-07-24,529.42,2079.649902
2015-07-27,531.41,2067.639893
2015-07-28,526.03,2093.25
2015-07-29,529.0,2108.570068
2015-07-30,536.76,2108.6298829999996
2015-07-31,536.15,2103.840088
2015-08-03,535.03,2098.040039
2015-08-04,531.9,2093.320068
2015-08-05,537.01,2099.840088
2015-08-06,529.46,2083.560059
2015-08-07,522.62,2077.570068
2015-08-10,524.0,2104.179932
2015-08-11,527.46,2084.070068
2015-08-12,525.91,2086.050049
2015-08-13,529.66,2083.389893
2015-08-14,531.52,2091.540039
2015-08-17,535.22,2102.439941
2015-08-18,535.02,2096.919922
2015-08-19,532.92,2079.610107
2015-08-20,515.78,2035.72998
2015-08-21,494.47,1970.890015
2015-08-24,463.37,1893.209961
2015-08-25,466.37,1867.609985
2015-08-26,500.77,1940.5100100000002
2015-08-27,518.37,1987.660034
2015-08-28,518.01,1988.869995
2015-08-31,512.89,1972.180054
2015-09-01,496.54,1913.8499760000002
2015-09-02,510.55,1948.859985
2015-09-03,504.72,1951.130005
2015-09-04,499.0,1921.219971
2015-09-08,517.54,1969.410034
2015-09-09,516.89,1942.040039
2015-09-10,522.24,1952.290039
2015-09-11,529.44,1961.050049
2015-09-14,521.38,1953.030029
2015-09-15,522.37,1978.089966
2015-09-16,527.39,1995.310059
2015-09-17,538.87,1990.199951
2015-09-18,540.26,1958.030029
2015-09-21,548.39,1966.969971
2015-09-22,538.4,1942.7399899999998
2015-09-23,536.07,1938.7600100000002
2015-09-24,533.75,1932.2399899999998
2015-09-25,524.25,1931.339966
2015-09-28,504.06,1881.77002
